DID,Title,Disruption_Category,Disruption_Sub_Category,Start,End,Geographic_Scope,Industries Affected,Industries Affected.1,Industries Affected.2,Impact_Loss_$B,Disruption_Duration_Months,Disruption_Cost_Per_Month,Severity,Cascading_Impact 1,Cascading_Impact 2,Cascading_Impact 3,Primary_Supply_Chain_Node,Disrupted_KPI 1,Disrupted_KPI 2,Disrupted_KPI 3,Response_Adaptation_Strategy,Intrinsic_Challenge 1,Intrinsic_Challenge 2,Intrinsic_Challenge 3,Intrinsic_Challenge 4,Resilience_Dimension,Tech_Enabler,Tech_Enabler.1,Blockchain_Solution,AI_Solution,Cascade_Pattern,Early_Warning_Signals,Resilience_Strategy (Agentic AI + Blockchain),Primary_Intrinsic_Challenge,Primary_KPIs_Affected,Reference
11,First Transcontinental Telegraph,Technology,Infrastructure,1850,1850,North America,Communication,Manufacturing,,225,1,225,2,Network outages,,,Telegraph; Manufacturing,Signal reliability,Delivery latency,,Network redundancy; alternative lines,Supply Chain Transparency,Infrastructure Resilience,,,Network Resilience,Digital twin network ops,Digital Twin,0,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Supply Chain Transparency,"['Inspection Failures', 'Recall Response Time', 'Traceability Score']",Historical records
12,American Civil War Trade Disruption,Geopolitical,War,1860,1865,North America,Manufacturing,Agriculture,,850,48,17.70833333,3,Cotton shortages,rail damage,,Rail; Ports,Throughput,Inventory turnover,,Alternate suppliers; rail repairs,Risk Assessment & Prediction,Real-Time Monitoring & Response,,,Operational Continuity,IoT rail monitoring,AI/Agentic AI,0,1,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,AIS route deviations | Customs dwell-time spikes | Sanction list updates,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Risk Assessment & Prediction,"['Forecast Error (MAPE)', 'Safety Stock Level', 'Service Level']",Civil War archives
13,First Transcontinental Railroad,Infrastructure,Railway Transformation,1869,1869,North America,Rail,Trade,,400,1,400,2,Coast-to-coast connectivity,,,Rail; Ports,Transit time,Throughput,,Standardize rail; hubs,Complexity & Interdependence,Coordination & Collaboration,,,Network Resilience,Real-time rail monitoring,AI/Agentic AI,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Complexity & Interdependence,"['Bullwhip Index', 'Supply Mix Flexibility', 'Tier Visibility %']",Railroad archives
14,Suez Canal Opening Impact,Infrastructure,Canal Opening,1869,1869,Global via Egypt,Maritime,Trade,,400,1,400,2,Voyage time reduction,,,Maritime; Ports,Transit time,Freight costs,,Canal locks; capacity planning,Supply Chain Transparency,Risk Assessment & Prediction,,,Infrastructure Resilience,Digital twin canal ops,Digital Twin,1,0,Transport Bottleneck → Queueing & schedule drift → Inventory imbalance → Expediting costs → Service degradation,Blank sailings | Booking rejections | Queue length & dwell-time metrics,"Port/route congestion oracles; agents pre-book alternative modes dynamically | Dynamic slot trading via smart contracts with verifiable time-stamps | Cross-dock & pooling strategies decided by multi-agent optimization | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Supply Chain Transparency,"['Inspection Failures', 'Recall Response Time', 'Traceability Score']",Engineering reports
15,Panama Canal Opening,Infrastructure,Canal Opening,1914,1914,Global,Maritime,Trade,,300,1,300,2,Route time reduction,cost savings,,Maritime; Ports,Transit time,Shipping costs,,Fleet rerouting; capacity planning,Infrastructure Resilience,Coordination & Collaboration,,,Infrastructure Resilience,Digital twin canal operations,Digital Twin,1,0,Transport Bottleneck → Queueing & schedule drift → Inventory imbalance → Expediting costs → Service degradation,Blank sailings | Booking rejections | Queue length & dwell-time metrics,"Port/route congestion oracles; agents pre-book alternative modes dynamically | Dynamic slot trading via smart contracts with verifiable time-stamps | Cross-dock & pooling strategies decided by multi-agent optimization | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Infrastructure Resilience,"['Capacity Utilization', 'Equipment Uptime', 'MTTR']",Engineering reports
16,World War I Supply Chain Warfare,Geopolitical,War,1914,1918,Global,Military,Manufacturing,,8500,48,177.0833333,5,Blockades,resource shortages,,Ports; Factories,Capacity utilization,Supply availability,,Convoys; rationing,Multi-Agent Coordination,Real-Time Monitoring & Response,,,Strategic Resilience,GNN blockade detection,AI/Agentic AI,0,1,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,AIS route deviations | Customs dwell-time spikes | Sanction list updates,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Multi-Agent Coordination,"['Backorder Level', 'Order Fill Rate']",Military archives
17,Russian Revolution Supply Chain Collapse,Social,Revolution,1917,1921,Russia; Europe,Manufacturing,Agriculture,Transportation,2400,48,50,5,Economic collapse,industrial shutdown,,Manufacturing; Agriculture,Production capacity,Food distribution,,State control; resource allocation,Coordination & Collaboration,Risk Assessment & Prediction,,,Strategic Resilience,Economic prediction models,AI/Agentic AI,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Coordination & Collaboration,"['Backorder Level', 'Lead Time Variability', 'Order Fill Rate']",Historical archives
18,Spanish Flu Pandemic,Pandemic,Health Crisis,1981,1920,Global,Healthcare,All Industries,,2800,24,116.6666667,5,Labor shortages,demand shocks,,All Nodes,OTIF,Inventory turnover,,Quarantines; remote ops,Supply Chain Transparency,Real-Time Monitoring & Response,,,Health Resilience,LSTM outbreak forecasting,AI/Agentic AI,0,0,Labor & Demand Shock (bi-directional) → Factory/port constraints → Forecast error surge → System-wide oscillations,Absenteeism rise | Border restriction alerts | Demand volatility index surges,"Federated learning demand forecasting across partners (privacy-preserving) | Labor capacity agents for shift re-optimization & automation substitution | Smart contracts for adaptive MOQ/lead-time terms under emergency clauses | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Supply Chain Transparency,"['Inspection Failures', 'Recall Response Time', 'Traceability Score']",WHO records
19,British Coal Miners' Strike Disruption,Social,Labor Disruption,1926,1926,UK,Mining,Manufacturing,,120,6,20,3,Fuel shortages,rail delays,,Mining; Rail,Fuel supply,Lead time,,Government intervention; alternative energy,Coordination & Collaboration,Real-Time Monitoring & Response,,,Energy Resilience,AI workforce scheduling,AI/Agentic AI,0,1,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Coordination & Collaboration,"['Backorder Level', 'Lead Time Variability', 'Order Fill Rate']",Historical records
20,Great Depression Trade Collapse,Economic,Financial Crisis,1929,1939,Global,Financial,Manufacturing,,6200,120,51.66666667,5,Credit freeze,production collapse,,Finance; Trade,Credit availability,Fill Rate,,Fiscal stimulus; trade reform,Trust & Data Integrity,Economic Impact Optimization,,,Financial Resilience,Economic optimization models,AI/Agentic AI,0,1,Financial Contagion → Supplier liquidity stress → Payment delays → Capacity exits → Re-sourcing cascade,Forecast error spikes | Lead-time variance increase | Service-level dips,"FX risk oracles; smart-hedging triggers tied to exposure thresholds | Dynamic payment terms & supply-chain finance via programmable invoices | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Trust & Data Integrity,"['Audit Exceptions', 'Dispute Rate', 'Payment Delay']",Economic studies
21,Smoot-Hawley Tariff Act,Regulatory,Trade Policy,1930,1930,US-Global,Manufacturing,Agriculture,,1100,1,1100,3,Retaliatory tariffs,,,Trade; Customs,Tariff rates,Trade volumes,,Tariff renegotiations; free-trade pacts,Regulatory Compliance Automation,Stakeholder Communication,,,Policy Resilience,Automated compliance checks,AI/Agentic AI,1,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Regulatory Compliance Automation,"['OTIF', 'Forecast Error (MAPE)']",Congressional records
22,World War II Global Trade Disruption,Geopolitical,War,1939,1945,Global,Manufacturing,Global Trade,,12000,72,166.6666667,5,Resource scarcity,,,Ports; Factories,Throughput,Resource allocation,,Lend-lease; convoys,Multi-Agent Coordination,Real-Time Monitoring & Response,,,Strategic Resilience,Convoy monitoring,AI/Agentic AI,1,1,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,AIS route deviations | Customs dwell-time spikes | Sanction list updates,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Multi-Agent Coordination,"['Backorder Level', 'Order Fill Rate']",War archives
23,Berlin Blockade,Geopolitical,Cold War,1948,1949,Europe,Trade,Transportation,,1200,11,109.0909091,3,Airlift logistics,,,Air; Ground,Throughput,Delivery reliability,,Airlift ops; ground support,Real-Time Monitoring & Response,Agentic Intelligence,,,Operational Resilience,AI airlift scheduling,AI/Agentic AI,0,1,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,AIS route deviations | Customs dwell-time spikes | Sanction list updates,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Real-Time Monitoring & Response,"['Dwell Time', 'Lead Time', 'OTIF', 'Throughput']",Cold War records
24,Korean War Supply Disruption,Geopolitical,Cold War,1950,1953,Asia,Manufacturing,Transportation,,2600,36,72.22222222,3,Port closures,rail damage,,Ports; Rail,Throughput,Lead time,,Rapid repairs; rerouting,Infrastructure Resilience,Continuous Learning & Adaptation,,,Infrastructure Resilience,Adaptive logistics replanning,AI/Agentic AI,0,1,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,AIS route deviations | Customs dwell-time spikes | Sanction list updates,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Infrastructure Resilience,"['Capacity Utilization', 'Equipment Uptime', 'MTTR']",UN archives
25,Suez Crisis,Geopolitical,Cold War,1956,1956,Global via Egypt,Maritime,Trade,,850,1,850,2,Shipping diversions,,,Maritime; Ports,Freight costs,Transit time,,Route diversification,Supply Chain Transparency,Risk Assessment & Prediction,,,Route Resilience,Blockchain route validation,Blockchain,1,0,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,AIS route deviations | Customs dwell-time spikes | Sanction list updates,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Supply Chain Transparency,"['Inspection Failures', 'Recall Response Time', 'Traceability Score']",UN records
26,Cuban Missile Crisis Trade Impact,Geopolitical,Cold War,1962,1962,Global,Manufacturing,Trade,,450,1,450,1,Security screenings,,,Ports; Trade,Security delays,Throughput,,Enhanced protocols,Trust & Data Integrity,Coordination & Collaboration,,,Security Resilience,Automated clearance notifications,Blockchain,1,0,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,AIS route deviations | Customs dwell-time spikes | Sanction list updates,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Trust & Data Integrity,"['Audit Exceptions', 'Dispute Rate', 'Payment Delay']",US archives
